feature,f_score,rank,selected,vimp_cov,delta,abs_delta,sign,mean_early,mean_late,score_blend,blend_rank
ray,1.9241386183310016,105,0,0.0022947951826974124,0.0036881176838099066,0.0036881176838099066,1,0.0024421183711214947,0.006130236054931401,0.6223067173637515,81
smooth,10.197011524147813,29,0,0.0024895620525429087,-0.0017186147252574637,0.0017186147252574637,-1,0.011536264366414821,0.009817649641157358,0.6197718631178707,82
kuvshinov,2.1884588688242634,95,0,0.001551378521853494,0.0038525954961431573,0.0038525954961431573,1,0.0035669332639723036,0.007419528760115461,0.6185044359949302,83
light,0.022621758085426887,236,0,0.005100785574536864,0.006561153014227871,0.006561153014227871,1,0.012371850902647507,0.018933003916875378,0.6121673003802282,84
very,2.207459185544592,93,0,0.0012800027853221688,-0.003960585579432014,0.003960585579432014,-1,0.017040634342209274,0.01308004876277726,0.6108998732572877,85
ghibli,0.6481399022190563,154,0,0.0024470809589224726,0.004969284164587755,0.004969284164587755,1,0.0032065018356430804,0.008175786000230835,0.6096324461343473,86
symmetrical,11.222527244307464,21,0,0.0023752924335655604,-0.0014305223217607847,0.0014305223217607847,-1,0.009431567033962515,0.00800104471220173,0.6045627376425856,87
detail,0.10872425156467302,219,0,0.006184759612873686,0.004862420224098919,0.004862420224098919,1,0.011346225158292672,0.01620864538239159,0.6045627376425855,88
on,0.08448073563717569,224,0,0.007440869438880286,-0.004163944339562874,0.004163944339562874,-1,0.04828954342804682,0.044125599088483944,0.5994930291508238,89
concept,3.7709895221175804,61,0,0.0037168125178595837,-0.0013407817756437047,0.0013407817756437047,-1,0.024177409487546875,0.02283662771190317,0.596958174904943,90
colors,0.35532289327744465,182,0,0.0031500875479885436,0.004779361035919739,0.004779361035919739,1,0.010673953897983408,0.015453314933903147,0.5956907477820025,91
up,0.000881630731023564,258,0,0.007096460449167001,0.0055461324302787385,0.0055461324302787385,1,0.010113990761497223,0.01566012319177596,0.594423320659062,92
on the,3.675992991665257,64,0,0.0010717153772300798,0.0033483020175267882,0.0033483020175267882,1,0.010379178883028879,0.013727480900555667,0.5931558935361217,93
oil,0.0756733029691021,226,0,0.00492591278698184,0.005217921582712882,0.005217921582712882,1,0.010333336708144908,0.01555125829085779,0.5906210392902408,94
image,0.38043388184926363,179,0,0.002501329128362234,-0.005151637933316671,0.005151637933316671,-1,0.010233143852914637,0.0050815059195979655,0.5893536121673004,95
painting by,3.732449678874706,62,0,0.0013441266484849872,-0.0027393603158897446,0.0027393603158897446,-1,0.010940900817838226,0.008201540501948481,0.5893536121673004,96
trending,4.031802846220435,55,0,0.003027460198581412,-0.0013441792824418729,0.0013441792824418729,-1,0.026025003068248686,0.024680823785806813,0.5842839036755387,97
details,2.259134938564854,91,0,0.0012007691592296104,0.0034965449819755346,0.0034965449819755346,1,0.009063287964663764,0.012559832946639298,0.5830164765525981,98
robot,0.005398534696023426,248,0,0.004490653205938455,0.006234735651222309,0.006234735651222309,1,0.0037570127597735038,0.009991748410995812,0.5804816223067174,99
the style,1.0548154750692682,133,0,0.002226509227900586,-0.0035377361986307955,0.0035377361986307955,-1,0.015118129611934084,0.011580393413303289,0.5792141951837769,100
painting,3.8839899336250134,59,0,0.005057892284178791,-0.0008052897597689915,0.0008052897597689915,-1,0.03885010460523804,0.038044814845469045,0.5766793409378961,101
ilya kuvshinov,1.2196287164132102,125,0,0.0012939796803568262,0.004124372204176907,0.004124372204176907,1,0.003329324018468313,0.007453696222645221,0.5766793409378961,102
head,0.35248344679120147,183,0,0.003499205531466833,0.0038070292814751105,0.0038070292814751105,1,0.005075346018684122,0.008882375300159232,0.5741444866920152,103
studio,1.0034693868684579,137,0,0.0010823455265175394,0.005190293940078555,0.005190293940078555,1,0.007340242749229465,0.01253053668930802,0.5716096324461343,104
detailed digital,10.46093497676352,26,0,0.0014832095671297423,-0.0015822792732617663,0.0015822792732617663,-1,0.010040231688510827,0.00845795241524906,0.5678073510773131,105
with,0.7514346920414277,145,0,0.008329186116035617,-0.0016724099805849948,0.0016724099805849948,-1,0.044854782130786044,0.04318237215020105,0.5652724968314322,106
full,13.1731975065737,15,1,0.0005992170259186934,-0.002378323825886588,0.002378323825886588,-1,0.015574763034597528,0.01319643920871094,0.5640050697084917,107
intricate elegant,16.155720092609545,6,1,0.0010456197300404788,-0.0015819121829705957,0.0015819121829705957,-1,0.006433803576121398,0.004851891393150802,0.5576679340937897,108
concept art,8.59089119263264,33,0,0.0026248088613152532,0.0008815466616895022,0.0008815466616895022,1,0.020179562887953004,0.021061109549642507,0.5576679340937896,109
focus illustration,19.27716764680925,2,1,0.0007642897324582705,-0.0016052131019636652,0.0016052131019636652,-1,0.008864370852545654,0.0072591577505819885,0.5475285171102661,110
