feature,f_score,rank,selected,vimp_cov,delta,abs_delta,sign,mean_early,mean_late,score_blend,blend_rank
armor,16.889224504699815,56,0,0.0007522192320829306,-0.001705096523534443,0.001705096523534443,-1,0.005447129232384183,0.0037420327088497404,0.7415364583333334,75
very,1.322575441147053,244,0,0.0031495020451254886,-0.0021884041564364503,0.0021884041564364503,-1,0.013189708136995664,0.011001303980559214,0.7408854166666666,76
at the,2.708349221318323,178,0,0.0013787160760432864,-0.002253807943011841,0.002253807943011841,-1,0.005692697286106567,0.0034388893430947263,0.7356770833333334,77
fantasy intricate,15.688928272629179,58,0,0.0022880504786750105,-0.0010692656025180223,0.0010692656025180223,-1,0.0027559681649681465,0.0016867025624501242,0.7330729166666666,78
black,0.639751207747484,305,0,0.00310105118908141,0.0031248269491306324,0.0031248269491306324,1,0.013786204593566078,0.01691103154269671,0.7317708333333334,79
digital painting,18.151825525909413,49,0,0.0027785380515872133,0.0009023065104829045,0.0009023065104829045,1,0.012266164897920708,0.013168471408403612,0.7317708333333334,80
van,0.29769234546016093,362,0,0.008152860706165974,0.003192828525322819,0.003192828525322819,1,0.003691979958513486,0.006884808483836305,0.73046875,81
background,1.3536368602366935,241,0,0.0019252137248272772,0.002420604786102688,0.002420604786102688,1,0.011706133931478556,0.014126738717581244,0.7272135416666666,82
female,29.893893620107825,28,1,0.0008736667844545394,-0.0013149723044398433,0.0013149723044398433,-1,0.007300179628830288,0.005985207324390444,0.7265625,83
rutkowski and,28.557293131627638,30,1,0.0007928764049533379,0.001321642607028218,0.001321642607028218,1,0.007002101503532264,0.008323744110560482,0.720703125,84
focus illustration,35.50795507398867,18,1,0.0022082118308420127,-0.000799421736777362,0.000799421736777362,-1,0.00781503054944272,0.007015608812665357,0.7194010416666666,85
krenz,10.23733950634073,87,0,0.0013311184530206215,-0.0013275609773239537,0.0013275609773239537,-1,0.003010733176939949,0.0016831721996159953,0.7180989583333334,86
