y,batch,user_id,n_list,x_sage_0,x_sage_1,x_sage_2,x_sage_3,x_sage_4,x_sage_5,x_sage_6,x_sage_7,x_sage_8,x_sage_9,x_sage_10,x_sage_11,x_sage_12,x_sage_13,x_sage_14,x_sage_15,x_n_nodes,x_n_edges,x_mean_deg,x_n_cc,x_n_q_seeds,x_seed_frac,x_lcc_frac
0.75,5,0,4,0.5,0.25,0.55,0.425,0.5,0.289048,0.557143,0.425,0.5,0.289048,0.557143,0.425,0.5,0.272655,0.555768,0.425,1,0.375,0.25,0.65,0.833333,0.5,0.425
0.75,5,1,4,0.75,0.591667,0.55,0.675,0.7625,0.617222,0.551667,0.675,0.7625,0.617222,0.551667,0.675,0.757292,0.607269,0.549326,0.675,1,0.8875,0.591667,0.375,1.25,0.75,0.675
0.25,5,2,4,0.325,0.0666667,0.55,0.275,0.3375,0.0791667,0.54125,0.275,0.3375,0.0791667,0.54125,0.275,0.325,0.0666667,0.55,0.275,1,0.1,0.0666667,0.8,0.541667,0.325,0.275
0.5,5,3,4,0.5,0.475,0.55,0.475,0.52,0.489167,0.536375,0.475,0.52,0.489167,0.536375,0.475,0.515,0.483125,0.544656,0.475,1,0.7125,0.475,0.625,0.833333,0.5,0.475
0.5,5,4,4,0.575,0.366667,0.55,0.425,0.575,0.366667,0.55,0.425,0.575,0.366667,0.55,0.425,0.575,0.366667,0.55,0.425,1,0.55,0.366667,0.65,0.958333,0.575,0.425
0.5,5,5,4,0.5,0.316667,0.55,0.425,0.521875,0.368601,0.543259,0.425,0.521875,0.368601,0.543259,0.425,0.518806,0.355939,0.54528,0.425,1,0.475,0.316667,0.625,0.833333,0.5,0.425
0.5,5,6,4,0.4,0.141667,0.55,0.4,0.4125,0.188681,0.565833,0.4,0.4125,0.188681,0.565833,0.4,0.4,0.157847,0.561465,0.4,1,0.2125,0.141667,0.7,0.666667,0.4,0.4
0.75,5,7,4,0.75,0.733333,0.55,0.675,0.75,0.733333,0.55,0.675,0.75,0.733333,0.55,0.675,0.75,0.733333,0.55,0.675,1,1.1,0.733333,0.4,1.25,0.75,0.675
0,5,8,4,0.55,0.291667,0.55,0.45,0.541667,0.314306,0.530292,0.45,0.541667,0.314306,0.530292,0.45,0.54375,0.298396,0.546273,0.45,1,0.4375,0.291667,0.525,0.916667,0.55,0.45
0,5,9,4,0.375,0.15,0.55,0.35,0.375,0.163194,0.54,0.35,0.375,0.163194,0.54,0.35,0.375,0.155787,0.544583,0.35,1,0.225,0.15,0.7,0.625,0.375,0.35
0.75,5,10,4,0.55,0.366667,0.55,0.425,0.55,0.370833,0.5525,0.425,0.55,0.370833,0.5525,0.425,0.55,0.366667,0.55,0.425,1,0.55,0.366667,0.675,0.916667,0.55,0.425
0.75,5,11,4,0.5,0.408333,0.55,0.45,0.5,0.417083,0.55425,0.45,0.5,0.417083,0.55425,0.45,0.5,0.413208,0.551725,0.45,1,0.6125,0.408333,0.65,0.833333,0.5,0.45
0.75,5,12,4,0.225,0.1,0.55,0.25,0.225,0.1,0.55,0.25,0.225,0.1,0.55,0.25,0.225,0.1,0.55,0.25,1,0.15,0.1,0.8,0.375,0.225,0.25
0.5,5,13,4,0.35,0.166667,0.55,0.375,0.389583,0.189583,0.5375,0.375,0.389583,0.189583,0.5375,0.375,0.365625,0.176157,0.544444,0.375,1,0.25,0.166667,0.7,0.583333,0.35,0.375
0.5,5,14,4,0.45,0.333333,0.55,0.475,0.456667,0.343651,0.548798,0.475,0.456667,0.343651,0.548798,0.475,0.457222,0.34155,0.55022,0.475,1,0.5,0.333333,0.625,0.75,0.45,0.475
0.75,5,15,4,0.55,0.316667,0.55,0.525,0.558333,0.337917,0.562167,0.525,0.558333,0.337917,0.562167,0.525,0.545833,0.328213,0.545866,0.525,1,0.475,0.316667,0.5,0.916667,0.55,0.525
0.75,5,16,4,0.55,0.383333,0.55,0.55,0.566667,0.40873,0.556696,0.55,0.566667,0.40873,0.556696,0.55,0.564286,0.409944,0.549498,0.55,1,0.575,0.383333,0.525,0.916667,0.55,0.55
0.5,5,17,4,0.5,0.241667,0.55,0.35,0.5,0.26369,0.552321,0.35,0.5,0.26369,0.552321,0.35,0.5,0.257044,0.551042,0.35,1,0.3625,0.241667,0.65,0.833333,0.5,0.35
