item_id,n_W1,n_W2,cmean_l2,mmd2,po_tau2_mean,r_cmean_l2,r_mmd2,r_po_tau2_mean,rank_score,rank,selected
4190043,3,18,8.912569438193295,1.1074961824051541,5.30747674901599e-08,221.0,191.0,90.0,167.33333333333334,150,1
2955369,3,10,8.335605894061098,1.3713704965647469,5.354895814050264e-10,258.0,86.0,158.0,167.33333333333334,151,1
2259399,7,49,16.64672023717903,1.2110988955708697,0.0,78.0,150.0,281.5,169.83333333333334,152,1
901522,6,11,6.865776421176427,1.387148352026871,6.025659235243937e-08,344.0,82.0,84.0,170.0,153,1
1596457,5,26,11.882928367129868,1.3209055041851223,0.0,123.0,110.0,281.5,171.5,154,1
2255276,4,32,12.462523773910682,1.2826623295470843,0.0,109.0,124.0,281.5,171.5,155,1
523150,6,17,10.566408327429345,1.404559241886997,0.0,159.0,77.0,281.5,172.5,156,1
2156664,7,8,8.876504746903434,1.0567771116289935,7.432384323640478e-08,225.0,218.0,75.0,172.66666666666666,157,1
695799,5,63,24.50624812654662,1.0798125550861737,0.0,38.0,202.0,281.5,173.83333333333334,158,1
395439,6,121,38.232414582553766,1.0323506872365946,0.0,14.0,227.0,281.5,174.16666666666666,159,1
642402,7,27,10.884331824616462,1.3565170175523524,0.0,149.0,94.0,281.5,174.83333333333334,160,1
2592746,6,72,24.25154611080782,1.0760543933763889,0.0,39.0,206.0,281.5,175.5,161,1
2543388,4,21,10.562866190402552,1.3761799863885367,0.0,160.0,85.0,281.5,175.5,162,1
2016427,4,66,24.728039559862914,1.0687046846789694,0.0,37.0,210.0,281.5,176.16666666666666,163,1
1707892,5,6,8.434383816444715,0.9577983789026511,4.0353479150045224e-07,254.0,256.0,20.0,176.66666666666666,164,1
992150,4,12,9.016099432678333,1.5095008965364012,0.0,218.0,33.0,281.5,177.5,165,1
4120050,4,28,11.588074634398485,1.2981158035585707,0.0,133.0,119.0,281.5,177.83333333333334,166,1
41297,3,54,19.274400363895687,1.0961678944516244,0.0,61.0,195.0,281.5,179.16666666666666,167,1
2012376,3,26,10.811913671708655,1.3299200966096478,0.0,152.0,106.0,281.5,179.83333333333334,168,1
4140599,4,21,9.423631049427067,1.4434558688955483,0.0,200.0,58.0,281.5,179.83333333333334,169,1
4465932,5,13,10.56772721890858,1.3348275427891916,0.0,158.0,102.0,281.5,180.5,170,1
3840155,3,19,11.821001267947457,1.2593878697772354,0.0,127.0,134.0,281.5,180.83333333333334,171,1
86522,4,13,8.328835955464164,1.634223161496526,0.0,259.0,3.0,281.5,181.16666666666666,172,1
41284,15,27,8.738848861730602,0.9992665537321578,1.0794251975411807e-07,241.0,240.0,64.0,181.66666666666666,173,1
1287879,3,23,11.847610933051557,1.2447820889238828,0.0,125.0,139.0,281.5,181.83333333333334,174,1
4519531,9,4,9.834713734404081,1.3763931408517067,0.0,182.0,84.0,281.5,182.5,175,1
819199,5,46,15.894843827201758,1.1248587763242177,0.0,83.0,183.0,281.5,182.5,176,1
4140710,5,5,9.577066060093136,0.8549766232868299,1.570893952352131e-07,195.0,313.0,39.5,182.5,177,1
